timestep: 0
=======================================================================
     Cross     Speed      Prox        Ns        Nk        Nw        Ts        Tk
=======================================================================
         0         0         0         0         0         0         0         0
         0         0         0         0         0         0         0         0
         0         0         0         0         0         0         0         0
        90         0         0       154        25         0         0         0
        91         0         0        90        15         0         0         0
        89         0         0         8         0         0         0         0
        92         0         0         2         0         0         0         0
        88         0         0         0         1         0         0         0
        90         1         0         0         0         0         0         0
        90         2         0         0         0         0         0         0
        90         3         0         0         0         0         0         0
        90         0         1         0         1         0         0         0
        90         1         1      2172         0         0         0         0
        91         1         1      1472         0         0         0         0
        83         1         1         2         0         0         0         0
        93         1         1        22         0         0         0         0
        95         1         1         2         0         0         0         0
        90         2         1         0         0         0         0         0
        90         3         1         0         1         0         0         0
        90         0         2         0         1         0         0         0
        90         1         2         0         0         0         0         0
        90         2         2         0         1         0         0         0
        90         3         2         0         0         0         0         0
        90         0         3         0         1         0         0         0
        90         1         3         0         0         0         0         0
        90         2         3         0         0         0         0         0
        91         2         3         0         1         0         0         0
        90         3         3         0         0         0         0         0
timestep: 1
=======================================================================
     Cross     Speed      Prox        Ns        Nk        Nw        Ts        Tk
=======================================================================
         0         0         0         0         0         0         0         0
         0         0         0         0         0         0         0         0
         0         0         0         0         0         0         0         0
        90         0         0       154        25         1         0         0
        91         0         0        90        15         0         0         0
        89         0         0         8         0         0         0         0
        92         0         0         2         0         0         0         0
        88         0         0         0         1         0         0         0
        90         1         0         0         0         0         0         0
        90         2         0         0         0         0         0         0
        90         3         0         0         0         0         0         0
        90         0         1         0         1         0         0         0
        90         1         1      2172         0         0         0         0
        91         1         1      1472         0         0         0         0
        83         1         1         2         0         0         0         0
        93         1         1        22         0         0         0         0
        95         1         1         2         0         0         0         0
        90         2         1         0         0         0         0         0
        90         3         1         0         1         0         0         0
        90         0         2         0         1         0         0         0
        90         1         2         0         0         0         0         0
        90         2         2         0         1         0         0         0
        90         3         2         0         0         0         0         0
        90         0         3         0         1         0         0         0
        90         1         3         0         0         0         0         0
        90         2         3         0         0         0         0         0
        91         2         3         0         1         0         0         0
        90         3         3         0         0         0         0         0
timestep: 2
=======================================================================
     Cross     Speed      Prox        Ns        Nk        Nw        Ts        Tk
=======================================================================
         0         0         0         0         0         0         0         0
         0         0         0         0         0         0         0         0
         0         0         0         0         0         0         0         0
        90         0         0       156        25         0         4         0
        91         0         0        90        15         0         0         0
        89         0         0         8         0         0         0         0
